N,best_energy,merit_factor,energy_evals,best_s
82,673,4.99554234769688,205045,-1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 1 1 1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 1 1 1 1 -1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 1 -1 1 1 -1 -1 -1 1 -1 -1 1
5,2,6.25,31625,-1 1 -1 -1 -1
10,13,3.8461538461538463,200220,-1 -1 1 1 1 -1 1 1 -1 1
15,15,7.5,201154,-1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 -1 1
20,26,7.6923076923076925,200120,-1 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1
25,36,8.680555555555555,200100,1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 -1 -1
30,59,7.627118644067797,201087,1 -1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1
35,89,6.882022471910112,203078,1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 1 1 -1 -1 1 -1 1 1 -1 -1 1 1 1 -1 1 -1 -1 1
40,136,5.882352941176471,200070,-1 -1 1 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 1 1
45,154,6.574675324675325,202565,1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1
50,209,5.980861244019139,200060,1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1
55,287,5.270034843205575,203557,-1 1 1 -1 -1 -1 -1 1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 1 1 -1 1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 1 1
60,334,5.389221556886228,204054,-1 -1 -1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 -1 1 1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1
65,396,5.334595959595959,201551,-1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 1
66,401,5.43142144638404,204651,1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1
70,463,5.291576673866091,203049,-1 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 1 1
